artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
"Tyler, The Creator",Tron Cat,7zs03air8yiI8EYfAaX7b1,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,31,True,0.632,0.634,G#/Ab,-8.415,Major,0.274,0.0302,0.0,0.153,0.39,81.0,4,,Studio Album,04:13,2011,May,Monday
"Tyler, The Creator",KEEP DA O'S (feat. Pharrell Williams & Coco O.),7zdanauvITJaq9OE7bBz0c,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,47,True,0.501,0.596,F#/Gb,-8.444,Major,0.077,0.00814,0.00023,0.0666,0.204,139.929,3,"Pharrell Williams, Coco O.",Studio Album,04:08,2015,April,Monday
"Tyler, The Creator",Lone,1v1uyptq1GJOODawkJrwOx,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,37,True,0.41,0.736,D,-8.901,Major,0.182,0.456,0.0,0.821,0.596,78.643,4,,Instrumental Album,03:57,2013,April,Monday
"Tyler, The Creator",Lights On (feat. Ryan Beatty & Santigold),3ILZNhiwZtZ3fVVI65WC6e,Music Inspired by Illumination & Dr. Seuss' The Grinch,05qQ4Sl7LjxDhZFB1ChVvH,2018-11-16,44,False,0.795,0.548,D#/Eb,-8.072,Major,0.199,0.163,0.0,0.0838,0.725,112.342,4,"Ryan Beatty, Santigold",EP,02:29,2018,November,Friday
"Tyler, The Creator",48,3e1eAGw2Icto28DqCqtNSG,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,38,True,0.548,0.875,C#/Db,-8.487,Major,0.277,0.125,0.0,0.873,0.512,119.995,4,,Instrumental Album,04:07,2013,April,Monday
"Tyler, The Creator",Yonkers,7fnH9vpllrPLuIgLQ2x7ji,Yonkers,4KUXmY53T1DLMZ0lVJsjjw,2011-02-15,44,True,0.712,0.759,B,-5.397,Major,0.334,0.0161,0.0808,0.217,0.738,79.102,4,,Single,04:09,2011,February,Tuesday
"Tyler, The Creator",Analog,4DJ63obgThdFzKRgRrUbkG,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,35,True,0.364,0.699,C,-9.473,Minor,0.29,0.00444,0.00093,0.772,0.427,87.083,5,Hodgy,Studio Album,02:54,2011,May,Monday
"Tyler, The Creator",DEATHCAMP (feat. Cole Alexander),2u1tKPsxhwigi5BNbXihB0,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,48,True,0.581,0.746,A#/Bb,-5.495,Minor,0.0422,0.0149,0.000276,0.594,0.455,101.881,4,Cole Alexander,Instrumental Album,03:09,2015,April,Monday
"Tyler, The Creator",Awkward - Instrumental,6ex85awyyNSg99oF6KEcVT,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,31,False,0.559,0.797,G#/Ab,-7.177,Major,0.0708,0.55,0.819,0.0836,0.503,154.24,4,,Instrumental Album,04:13,2013,April,Monday
"Tyler, The Creator",WOLF,0fqkchNanlXCoNacucPP17,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,38,True,0.425,0.286,C#/Db,-11.993,Minor,0.122,0.314,0.00476,0.399,0.344,138.879,4,,Instrumental Album,01:50,2013,April,Monday
"Tyler, The Creator",Goblin,7czHy27LqBUF6zifjvBPEn,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,26,True,0.456,0.529,F,-12.651,Minor,0.828,0.534,0.0,0.219,0.444,78.235,4,,Single,06:48,2011,May,Monday
"Tyler, The Creator",Jamba (feat. Hodgy),2AVAzChsDazG4eCQuzLYjS,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,38,True,0.757,0.48,C#/Db,-7.909,Major,0.38,0.0315,2.91e-06,0.322,0.647,80.017,4,Hodgy,Instrumental Album,03:32,2013,April,Monday
"Tyler, The Creator",Sandwitches,38WeksMjfHptObzOjrBzmK,Sandwitches,5DRfAXSvoEo2JQ1UnfGHSS,2011-02-15,35,True,0.576,0.587,E,-9.763,Major,0.222,0.0676,2.21e-06,0.204,0.373,152.468,4,Hodgy,Single,04:51,2011,February,Tuesday
"Tyler, The Creator",PILOT (feat. Sydney Bennett),4SUQbrebZgvSX8i3aYHMB6,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,42,True,0.596,0.869,F,-2.389,Minor,0.0621,6.32e-05,0.0493,0.0476,0.545,109.995,4,Syd,Instrumental Album,03:29,2015,April,Monday
"Tyler, The Creator",Yonkers,3wtdE36rvmFSsr2Yptn7to,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,32,True,0.712,0.759,B,-5.397,Major,0.334,0.0161,0.0808,0.217,0.738,79.102,4,,Studio Album,04:09,2011,May,Monday
"Tyler, The Creator",When Gloves Come Off (feat. Ryan Beatty),7A5zSSX7AAVRhcTmIaKcf6,Music Inspired by Illumination & Dr. Seuss' The Grinch,05qQ4Sl7LjxDhZFB1ChVvH,2018-11-16,39,False,0.546,0.366,C,-9.919,Major,0.0324,0.04,0.0877,0.0568,0.153,83.97,4,Ryan Beatty,EP,01:53,2018,November,Friday
"Tyler, The Creator",Domo23,6cptY7FTu1MccbY9PACAtj,Domo23,4n7vzMjIJLuU4yMSFaoQ9h,2013-02-15,38,True,0.751,0.649,C#/Db,-5.267,Minor,0.334,0.0595,0.0,0.269,0.576,133.144,4,,Single,02:41,2013,February,Friday
